variant	asset	asset_fnv64	sample	frame	viewport	scene	topology	geometry	paint	layers	visible_layers	draw_items	masks	clip_paths	path_verbs	path_points	gradient_stops
samsung	dynamic_path_test.json	7a378a5ee043f6b4	p000	0	128x128	7626e352b0e83f76	9508ef93bc76b551	f69c2f6e3284158d	9d1d665f7b831c7e	2	2	3	0	0	43	73	0
samsung	dynamic_path_test.json	7a378a5ee043f6b4	p025	37	128x128	b21a927a892797ee	faaeb287054f9b35	8195186f2691b904	9d1d665f7b831c7e	2	2	3	0	0	55	109	0
samsung	dynamic_path_test.json	7a378a5ee043f6b4	p050	75	128x128	88da28fe5cb36f91	faaeb287054f9b35	547bc84b7edee73f	9d1d665f7b831c7e	2	2	3	0	0	55	109	0
samsung	dynamic_path_test.json	7a378a5ee043f6b4	p075	113	128x128	a43cb1c0b07b9fc6	faaeb287054f9b35	4aa1685c9c98c0e2	9d1d665f7b831c7e	2	2	3	0	0	55	109	0
samsung	dynamic_path_test.json	7a378a5ee043f6b4	p100	150	128x128	93aa45c4c964681b	faaeb287054f9b35	835882acd48b955b	9d1d665f7b831c7e	2	2	3	0	0	55	109	0
samsung	gradient_animated_background.json	a78189500889cf1b	p000	0	128x128	80e4931f8af297e6	b2b7344057815647	bc5d7115fdaaeab9	45010350fc19fda1	3	3	3	0	0	18	15	3
samsung	gradient_animated_background.json	a78189500889cf1b	p025	39	128x128	82b615838ee91aed	b2b7344057815647	bc5d7115fdaaeab9	4ca74fa470e6bb32	3	3	3	0	0	18	15	3
samsung	gradient_animated_background.json	a78189500889cf1b	p050	78	128x128	9c2f7cdf5fa7eef5	b2b7344057815647	bc5d7115fdaaeab9	3728899f39de2c43	3	3	3	0	0	18	15	3
samsung	gradient_animated_background.json	a78189500889cf1b	p075	117	128x128	90bcf35078407a24	b2b7344057815647	bc5d7115fdaaeab9	131c31e2af9c949f	3	3	3	0	0	18	15	3
samsung	gradient_animated_background.json	a78189500889cf1b	p100	155	128x128	f8e30ae1787e82b0	b2b7344057815647	bc5d7115fdaaeab9	4c2917fbcd884da5	3	3	3	0	0	18	15	3
samsung	mask.json	1c1102ff30a73b97	p000	0	128x128	2f571fdf945f3d0b	63e85ede1f05c9d3	1222bea794a8bc8d	77be6a758c9118fa	2	2	1	1	0	12	18	0
samsung	mask.json	1c1102ff30a73b97	p025	7	128x128	fdefb36c1e0c3a97	63e85ede1f05c9d3	a39072a24f771376	77be6a758c9118fa	2	2	1	1	0	12	18	0
samsung	mask.json	1c1102ff30a73b97	p050	15	128x128	4c88734a4af37e72	63e85ede1f05c9d3	e1d9c221e7538680	77be6a758c9118fa	2	2	1	1	0	12	18	0
samsung	mask.json	1c1102ff30a73b97	p075	23	128x128	82bfe171abb920db	63e85ede1f05c9d3	9937882619b6beb1	77be6a758c9118fa	2	2	1	1	0	12	18	0
samsung	mask.json	1c1102ff30a73b97	p100	30	128x128	62d45b426ed532fb	63e85ede1f05c9d3	53a7da5320f48b2e	77be6a758c9118fa	2	2	1	1	0	12	18	0
samsung	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	p000	0	128x128	f016b89b11ca1522	38bce7101ea3c54d	bbd4a3ecbbd1fe7b	72e1985909bccfcf	4	4	7	0	0	64	82	0
samsung	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	p025	37	128x128	f016b89b11ca1522	38bce7101ea3c54d	bbd4a3ecbbd1fe7b	72e1985909bccfcf	4	4	7	0	0	64	82	0
samsung	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	p050	75	128x128	f016b89b11ca1522	38bce7101ea3c54d	bbd4a3ecbbd1fe7b	72e1985909bccfcf	4	4	7	0	0	64	82	0
samsung	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	p075	113	128x128	f016b89b11ca1522	38bce7101ea3c54d	bbd4a3ecbbd1fe7b	72e1985909bccfcf	4	4	7	0	0	64	82	0
samsung	matte_two_item_with_lowerlayer.json	764f903aa7bfff66	p100	150	128x128	f016b89b11ca1522	38bce7101ea3c54d	bbd4a3ecbbd1fe7b	72e1985909bccfcf	4	4	7	0	0	64	82	0
samsung	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	p000	0	128x128	9be45b74c459b915	7f335568733aa639	05d42f7493f0b64c	069461bce8601f2c	2	2	1	0	0	2	2	0
samsung	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	p025	37	128x128	ca7b425cce28fe36	2e47b180ace7ce6d	77a162dc45e233fb	069461bce8601f2c	2	2	1	0	0	6	6	0
samsung	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	p050	75	128x128	940586106cfd902c	13cb116f76b87253	8e1a2cffe3586f1f	069461bce8601f2c	2	2	1	0	0	12	12	0
samsung	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	p075	113	128x128	59f15bb38cc3f9c7	4f682c95d75eefee	e4f6a468f14c62bd	069461bce8601f2c	2	2	1	0	0	21	21	0
samsung	polystar_line_clockwise_trim.json	8d8cd4aacce0760d	p100	150	128x128	0cca4a4d4395c248	cf63ab9896bc758f	c52135375f4b4fd9	069461bce8601f2c	2	2	1	0	0	33	32	0
